# accuracy_goal: 1e-06
#                  sigma                     qmin                     qmax                optimal_a              min_samples            best_integral      best_integral_qmin0          finite_integral            full_integral      rel_err_best-finite        rel_err_best-full   rel_err_bestqmin0_best   rel_err_bestqmin0_full
1.000000000000000021e-02 9.519292597914557064e-01 1.050288148740903704e+00 7.000000000000000666e-01 9.000000000000000000e+00 8.066512129059818029e-03 1.663281559618993830e-06 8.066505470620452187e-03 8.066512722413042222e-03 8.254428624753460135e-07 7.355758859022465797e-08 9.997938041209128990e-01 9.997938041360802108e-01
2.000000000000000042e-02 9.059880999061575846e-01 1.102884596407150530e+00 1.200000000000000178e+00 9.000000000000000000e+00 8.077405769290207233e-03 1.787124860184677734e-04 8.077402172003653527e-03 8.077409868506909424e-03 4.453519184885480867e-07 5.074914816659053532e-07 9.778750144386800791e-01 9.778750256669218599e-01
2.999999999999999889e-02 8.615388123794742725e-01 1.158626407406435410e+00 1.600000000000000089e+00 9.000000000000000000e+00 8.095597871752032923e-03 1.732134651496774688e-03 8.095596911366777226e-03 8.095604501997867922e-03 1.186305674814653092e-07 8.189932985686832591e-07 7.860399344264972221e-01 7.860401096583570224e-01
4.000000000000000083e-02 8.187592278995121653e-01 1.217458173998586801e+00 5.000000000000000000e-01 9.000000000000000000e+00 8.121147216693417117e-03 7.862637337468447729e-03 8.121138145557166982e-03 8.121145862702761412e-03 1.116978444098762990e-06 1.667240902449737208e-07 3.183169475041526530e-02 3.183153333343537172e-02
5.000000000000000278e-02 7.776205885860481004e-01 1.279560358608713200e+00 2.300000000000000266e+00 9.000000000000000000e+00 8.154097696514202992e-03 8.461434754515124307e-03 8.154095158844619842e-03 8.154103197000115225e-03 3.112141241566385966e-07 6.745666297498227202e-07 3.769111794335072707e-02 3.769041795155057828e-02
6.000000000000000472e-02 7.371618496373865126e-01 1.346822083090964517e+00 2.600000000000000089e+00 9.000000000000000000e+00 8.194562735058580696e-03 1.224621180727267743e-02 8.194558393586810069e-03 8.194566070817867545e-03 5.297993573424525515e-07 4.070696676335281430e-07 4.944313934995010484e-01 4.944307851618103822e-01
6.999999999999999278e-02 6.980970306695346572e-01 1.418496025643458891e+00 2.800000000000000266e+00 9.000000000000000000e+00 8.242638978542873515e-03 1.610817767600901396e-02 8.242637327770557798e-03 8.242644775428761492e-03 2.002723461040221238e-07 7.032798386819847953e-07 9.542500548600520993e-01 9.542486804753886886e-01
8.000000000000000167e-02 6.615295637151843433e-01 1.492422449037146492e+00 3.000000000000000444e+00 9.000000000000000000e+00 8.298464747923697121e-03 1.722419989333452695e-02 8.298462724045262487e-03 8.298470828628069437e-03 2.438859463416111473e-07 7.327499846524478155e-07 1.075588728342080191e+00 1.075587207454471228e+00
8.999999999999999667e-02 6.253366238757313011e-01 1.573441370144406992e+00 3.200000000000000178e+00 9.000000000000000000e+00 8.362193938367403281e-03 1.691382961838697185e-02 8.362189556659823178e-03 8.362197574482897050e-03 5.239904633127675586e-07 4.348277425140224716e-07 1.022654550115486893e+00 1.022653670609175114e+00
9.999999999999999167e-02 5.905374486327324979e-01 1.659841684174649501e+00 1.700000000000000178e+00 9.000000000000000000e+00 8.434003164108873005e-03 9.886125688669963885e-03 8.433992899684533001e-03 8.434000885482989540e-03 1.217030232547083686e-06 2.701714067147637313e-07 1.721747663957060581e-01 1.721750830838116031e-01
1.100000000000000006e-01 5.571266295287534698e-01 1.752008287534196906e+00 3.500000000000000444e+00 9.000000000000000000e+00 8.514077380387456012e-03 1.338613677555734738e-02 8.514071975443777626e-03 8.514079971595022236e-03 6.348247576453254582e-07 3.043438134089894337e-07 5.722357429347412205e-01 5.722352644345196637e-01
1.199999999999999956e-01 5.250940420007597087e-01 1.850355725780101546e+00 3.600000000000000089e+00 9.000000000000000000e+00 8.602650598840921176e-03 1.088229832530988352e-02 8.602650260467182425e-03 8.602658301431668694e-03 3.933366212802538193e-08 8.953733227131419563e-07 2.649936435609869800e-01 2.649925109194251616e-01
1.300000000000000044e-01 4.944252631634504791e-01 1.955330583404176537e+00 1.630000000000000071e+01 9.000000000000000000e+00 8.699992234446092890e-03 4.597481040922564217e-07 8.699976526214122513e-03 8.699984641499076965e-03 1.805548776257700482e-06 8.727540712780381155e-07 9.999471553431654725e-01 9.999471552970451427e-01
1.400000000000000133e-01 4.651019791497548184e-01 2.067414075502491233e+00 9.209999999999999432e+01 6.000000000000000000e+00 8.806340980718823166e-03 1.112151413604087546e-06 8.806326004140923452e-03 8.806334220288428855e-03 1.700661307867976273e-06 7.676781536109511265e-07 9.998737101577102049e-01 9.998737100607603123e-01
1.500000000000000222e-01 4.371023802925268487e-01 2.187124858925058035e+00 1.380000000000000071e+01 9.000000000000000000e+00 8.922017315788238409e-03 7.449513670325358516e-07 8.922001682901614314e-03 8.922010024835967668e-03 1.752172570652440420e-06 8.171871865696033827e-07 9.999165041558802924e-01 9.999165040876485389e-01
1.600000000000000033e-01 4.104015426691325352e-01 2.315022082089472910e+00 1.300000000000000000e+01 9.000000000000000000e+00 9.047350976279951856e-03 1.661863115437247485e-05 9.047335746341294421e-03 9.047344238298650476e-03 1.683361719343064433e-06 7.447468697894070919e-07 9.981631495011143995e-01 9.981631481331256772e-01
1.700000000000000122e-01 3.849717947588440770e-01 2.451708694377953357e+00 4.099999999999999645e+00 9.000000000000000000e+00 9.182691060754413423e-03 5.209964406963271330e-03 9.182691161899706953e-03 9.182699828087958344e-03 1.101477679541537100e-08 9.547664313389851692e-07 4.326320713075104685e-01 4.326326130113629653e-01
1.800000000000000211e-01 3.607830681805816453e-01 2.597835037933532654e+00 4.200000000000000178e+00 9.000000000000000000e+00 9.328474820385731364e-03 5.413821754971181142e-03 9.328463430093971234e-03 9.328472295180941301e-03 1.221025503877138948e-06 2.706986428386180514e-07 4.196455627301226565e-01 4.196454056289641299e-01
1.900000000000000022e-01 3.378032316846267258e-01 2.754102746743379626e+00 1.140000000000000036e+01 9.000000000000000000e+00 9.485099520874664888e-03 3.736023441117095750e-03 9.485082506900655713e-03 9.485091596395513885e-03 1.793761308538646803e-06 8.354668028735174929e-07 6.061165797053672533e-01 6.061162506288453322e-01
2.000000000000000111e-01 3.159984077657184143e-01 2.921268980162189610e+00 1.109999999999999964e+01 9.000000000000000000e+00 9.653026793012466772e-03 7.752110849472629815e-03 9.653014912115783636e-03 9.653024252686839835e-03 1.230796470460667805e-06 2.631637050150704914e-07 1.969243413802448384e-01 1.969241300398791028e-01
2.100000000000000200e-01 2.953332714459004360e-01 3.100151020504624100e+00 4.399999999999999467e+00 9.000000000000000000e+00 9.832767125849236484e-03 8.076380678714835393e-03 9.832766038147611534e-03 9.832775657905338043e-03 1.106201063596478547e-07 8.677159327539325425e-07 1.786258562472265998e-01 1.786265689666578782e-01
2.200000000000000011e-01 2.757713309432183735e-01 3.291631267043250819e+00 1.050000000000000000e+01 9.000000000000000000e+00 1.002490201019545953e-02 1.732303877790328239e-02 1.002488267520256111e-02 1.002489260396742868e-02 1.928700167857220347e-06 9.382871620115996877e-07 7.280008084154359072e-01 7.280024297764103869e-01
2.300000000000000100e-01 2.561802691067390780e-01 3.511607486915418797e+00 2.800000000000000266e+00 9.000000000000000000e+00 1.022995842631651414e-02 1.009543656830618266e-02 1.022995667227408548e-02 1.022996604004209296e-02 1.714613741638140372e-07 7.442571704560082074e-07 1.314979518042563161e-02 1.315052965076673498e-02
2.400000000000000189e-01 2.387488077469006875e-01 3.732742780642234859e+00 4.599999999999999645e+00 9.000000000000000000e+00 1.044863055638562722e-02 1.129934821101131158e-02 1.044862436916607455e-02 1.044863408516555174e-02 5.921563771524733054e-07 3.377264334987561589e-07 8.141905774491879633e-02 8.141869252111730293e-02
