#Measurements of the CMB-only TT power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck unbinned    ,          ,       2.0 ,           ,     225.8950 ,     132.3690 ,     533.0620 ,             
Planck unbinned    ,          ,       3.0 ,           ,     936.9200 ,     450.4710 ,    1212.3080 ,             
Planck unbinned    ,          ,       4.0 ,           ,     692.2380 ,     294.1110 ,     666.4690 ,             
Planck unbinned    ,          ,       5.0 ,           ,    1501.7050 ,     574.4320 ,    1155.8040 ,             
Planck unbinned    ,          ,       6.0 ,           ,     557.6110 ,     201.2420 ,     375.7630 ,             
Planck unbinned    ,          ,       7.0 ,           ,    1152.6429 ,     381.5840 ,     670.8240 ,             
Planck unbinned    ,          ,       8.0 ,           ,     615.8460 ,     191.9970 ,     323.4460 ,             
Planck unbinned    ,          ,       9.0 ,           ,     697.8210 ,     214.6380 ,     349.5810 ,             
Planck unbinned    ,          ,      10.0 ,           ,     803.6580 ,     232.8460 ,     367.9450 ,             
Planck unbinned    ,          ,      11.0 ,           ,     869.5800 ,     240.2600 ,     371.0430 ,             
Planck unbinned    ,          ,      12.0 ,           ,     764.0740 ,     204.9510 ,     310.5760 ,             
Planck unbinned    ,          ,      13.0 ,           ,     599.0030 ,     158.5930 ,     235.5810 ,             
Planck unbinned    ,          ,      14.0 ,           ,     808.1390 ,     199.3700 ,     290.7510 ,             
Planck unbinned    ,          ,      15.0 ,           ,    1022.1110 ,     243.4870 ,     349.7000 ,             
Planck unbinned    ,          ,      16.0 ,           ,     621.2920 ,     150.9770 ,     215.7980 ,             
Planck unbinned    ,          ,      17.0 ,           ,    1035.3781 ,     236.1670 ,     332.0950 ,             
Planck unbinned    ,          ,      18.0 ,           ,     674.5930 ,     156.3410 ,     216.8720 ,             
Planck unbinned    ,          ,      19.0 ,           ,     951.6420 ,     211.5540 ,     290.9970 ,             
Planck unbinned    ,          ,      20.0 ,           ,     659.8630 ,     144.7800 ,     197.6370 ,             
Planck unbinned    ,          ,      21.0 ,           ,     601.9240 ,     136.0500 ,     185.2580 ,             
Planck unbinned    ,          ,      22.0 ,           ,     605.2950 ,     131.6980 ,     177.0410 ,             
Planck unbinned    ,          ,      23.0 ,           ,     748.5190 ,     155.9380 ,     208.7000 ,             
Planck unbinned    ,          ,      24.0 ,           ,     850.4960 ,     175.6000 ,     233.2160 ,             
Planck unbinned    ,          ,      25.0 ,           ,     814.2680 ,     169.4330 ,     224.3060 ,             
Planck unbinned    ,          ,      26.0 ,           ,     823.8030 ,     164.3980 ,     215.3550 ,             
Planck unbinned    ,          ,      27.0 ,           ,    1004.0220 ,     190.2930 ,     247.8790 ,             
Planck unbinned    ,          ,      28.0 ,           ,    1149.8890 ,     215.0900 ,     279.0780 ,             
Planck unbinned    ,          ,      29.0 ,           ,     979.5670 ,     183.0710 ,     236.6550 ,             
